elapsed_s,cost
25.619,22020000.0
25.619,21989500.0
25.619,21940600.0
25.619,21902300.0
25.619,21898900.0
25.619,21855700.0
25.619,21827400.0
25.619,21771300.0
25.619,21710600.0
25.619,21762300.0
25.619,21665600.0
25.619,21678100.0
25.619,21649800.0
25.619,21611100.0
25.619,30697300.0
25.619,21643700.0
25.619,21558300.0
25.619,143788000.0
25.619,22499500.0
25.619,21593700.0
25.619,21542300.0
25.619,21479600.0
25.619,21458200.0
25.619,21433400.0
25.619,21412800.0
25.619,21368800.0
25.619,21333200.0
25.619,21268200.0
25.619,21217300.0
25.619,21154000.0
25.619,21083100.0
25.619,34338000000.0
25.619,3127960000.0
25.619,207468000.0
25.619,29130600.0
25.619,21194000.0
25.619,21076900.0
25.619,21081800.0
25.619,14814100000.0
25.619,1169610000.0
25.619,95210000.0
25.619,26139400.0
25.619,21455900.0
25.619,21108400.0
25.619,21080400.0
25.619,275300000.0
25.619,27696300.0
25.619,21385100.0
25.619,21028600.0
25.619,20976400.0
25.619,20926000.0
25.619,20837900.0
25.619,20790500.0
25.619,20725900.0
25.619,20652400.0
25.619,20583400.0
25.619,20671500.0
25.619,20553600.0
25.619,20480900.0
25.619,20429500.0
25.619,20362000.0
25.619,20324500.0
25.619,20280500.0
25.619,20241400.0
25.619,20352100.0
25.619,20217900.0
25.619,20167300.0
25.619,20125200.0
25.619,20084500.0
25.619,20029500.0
25.619,19966400.0
25.619,19902800.0
25.619,19780300.0
25.619,19694300.0
25.619,19740000.0
25.619,19672300.0
25.619,19613400.0
25.619,19509900.0
25.619,19405300.0
25.619,19360400.0
25.619,19286900.0
25.619,19252000.0
25.619,19227600.0
25.619,19198500.0
25.619,19184300.0
25.619,19161000.0
25.619,19143700.0
25.619,19105600.0
25.619,19072300.0
25.619,19037300.0
25.619,19004500.0
25.619,18907300.0
25.619,18831100.0
25.619,18730700.0
25.619,18646500.0
25.619,18600500.0
25.619,18546800.0
25.619,18492500.0
25.619,18431600.0
25.619,18376700.0
25.619,18332300.0
25.619,18281900.0
25.619,18271300.0
25.619,18228800.0
25.619,18186900.0
25.619,18133900.0
25.619,18096400.0
25.619,18042500.0
25.619,18030900.0
25.619,18016900.0
25.619,18012600.0
25.619,17993200.0
25.619,17982000.0
25.619,17968400.0
25.619,17944200.0
25.619,17927100.0
25.619,17904900.0
25.619,17890500.0
25.619,17873100.0
25.619,17864300.0
25.619,17841900.0
25.619,17826900.0
25.619,17810000.0
25.619,20098300.0
25.619,17886500.0
25.619,17806100.0
25.619,17800700.0
25.619,17795000.0
25.619,17790000.0
25.619,17788800.0
25.619,17782100.0
25.619,17776200.0
25.619,17764500.0
25.619,17775000.0
25.619,17755300.0
25.619,17748600.0
25.619,17735800.0
25.619,17727700.0
25.619,17714000.0
25.619,17702400.0
25.619,17694000.0
25.619,17685600.0
25.619,17676400.0
25.619,17915100.0
25.619,17665900.0
25.619,52396900.0
25.619,19203600.0
25.619,17692600.0
25.619,17661800.0
30.684,68819100.0
30.684,21490400.0
30.684,17976200.0
30.684,17686600.0
30.684,17662200.0
30.684,17660800.0
30.684,17650500.0
30.684,17637600.0
30.684,17629700.0
30.684,17620500.0
30.684,17612900.0
30.684,17606100.0
30.684,17598600.0
30.684,17585300.0
30.684,17577900.0
30.684,17572100.0
30.684,17553900.0
30.684,17539500.0
30.684,17528500.0
30.684,17507500.0
30.684,17499100.0
30.684,17489700.0
30.684,17484000.0
30.684,17471700.0
30.684,17473500.0
30.684,17466800.0
30.684,17459600.0
30.684,17451300.0
30.684,17443700.0
30.684,17436300.0
30.684,17432500.0
30.684,17429800.0
30.684,17427100.0
30.684,17423900.0
30.684,17421100.0
30.684,17418100.0
30.684,17414800.0
30.684,17410500.0
30.684,17405600.0
30.684,17403000.0
30.684,17405100.0
30.684,17396000.0
30.684,17389700.0
30.684,17380900.0
30.684,17374800.0
30.684,17356700.0
30.684,17349300.0
30.684,17345400.0
30.684,17336300.0
30.684,17332000.0
30.684,17326300.0
30.684,17329600.0
30.684,17322300.0
30.684,17318900.0
30.684,17315700.0
30.684,17313000.0
30.684,17310400.0
30.684,17307600.0
30.684,17301800.0
30.684,17292900.0
30.684,321232000.0
30.684,17281800.0
30.684,56608600000.0
30.684,9960640000.0
30.684,628235000.0
30.684,27820500.0
30.684,17384500.0
30.684,17280600.0
30.684,17289500.0
30.684,17281100.0
30.684,31306500.0
30.684,17276300.0
30.684,146841000.0
30.684,26485300.0
30.684,17895200.0
30.684,17317600.0
30.684,17278600.0
30.684,17276300.0
30.684,17274800.0
30.684,17273500.0
30.684,17271300.0
30.684,17268800.0
30.684,17282900.0
30.684,17269300.0
30.684,17267100.0
30.684,17263000.0
30.684,17265900.0
30.684,17261900.0
30.684,17256100.0
30.684,17247000.0
30.684,17235000.0
30.684,17226000.0
30.684,17220100.0
30.684,17216400.0
30.684,17211700.0
30.684,17208300.0
30.684,17204800.0
30.684,17201400.0
30.684,17197900.0
30.684,17193800.0
30.684,17219700.0
30.684,17191700.0
30.684,17210700.0
30.684,17187800.0
30.684,17180900.0
30.684,17175500.0
30.684,17167600.0
30.684,17158200.0
30.684,17142900.0
30.684,21681800.0
30.684,17133500.0
30.684,698007000.0
30.684,68691600.0
30.684,19896400.0
30.684,17202000.0
30.684,17130700.0
30.684,17127300.0
30.684,17119500.0
30.684,17800100.0
30.684,17150400.0
30.684,17118300.0
30.684,17117100.0
30.684,17115600.0
30.684,17112700.0
30.684,17108600.0
30.684,17104600.0
30.684,17101500.0
30.684,17097200.0
30.684,17095500.0
30.684,17092500.0
30.684,17090800.0
30.684,17089200.0
30.684,17088100.0
30.684,17086300.0
30.684,17084600.0
30.684,17082600.0
30.684,17080600.0
30.684,17078700.0
30.684,17075600.0
30.684,17071000.0
30.684,17068000.0
30.684,17065400.0
30.684,17063700.0
